english	translation	category	sub_category	source
Hello.	你好。	dialogue	'Beedy-eye' Jones	Player
Ah, good day to you [milady/sirrah]! Your face is unfamiliar, did you perhaps join us aboard the ship at Lunar Isle?	你好[milady/sirrah]！你看着很面生，该不会是在月亮岛上的船吧？	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No, Lokar offered me a lift in Rellekka actually.	不，其实是洛卡尔在雷勒卡城让我搭的便船。	dialogue	'Beedy-eye' Jones	Player
Oh, really? You don't look like a Fremennik to me!	真的吗？可你看着不像费明尼克人啊！	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Well... I kind of am, and I kind of aren't. It's a long story.	这个嘛……我算是，也不算吧。说来话长。	dialogue	'Beedy-eye' Jones	Player
Sorry I don't have time to hear it then! See you around young fremennik-who-is-not-really-a-fremennik!	那抱歉我没时间听了！回头见啦，你这个不算真正费明尼克的年轻人！	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Bye.	再见。	dialogue	'Beedy-eye' Jones	Player
Aren't you a little short for a pirate?	你作为海盗是不是有点太矮了？	dialogue	'Beedy-eye' Jones	Player
My mother was a gnome. Apparently it was a very painful birth.	我的母亲是地精，据说她生我时非常痛苦。	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
More info than I wanted, thanks!	这信息我可不想听，谢谢！	dialogue	'Beedy-eye' Jones	Player
ARGH! SOUND THE ALARM! STOWAWAY ON BOARD! STOWAWAY ON BOARD!	啊！拉警报！船上有偷渡客！船上有偷渡客！	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
No! I'm not a stowaway! Honest! I was invited here!	我不是偷渡客，真的！我是被邀请来的！	dialogue	'Beedy-eye' Jones	Player
Oh, sorry, my mistake then.	抱歉，那我弄错了。	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
You must admit you do look a lot like a stowaway though.	不过你得承认，你看起来确实很像偷渡客。	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Why, what do they usually look like?	那他们通常长什么样？	dialogue	'Beedy-eye' Jones	Player
Erm... I've never actually met one...	呃……其实我从没见过真正的偷渡客……	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
Okay then...	那好吧……	dialogue	'Beedy-eye' Jones	Player
Brrrr! Its cold up here!	呼！上面好冷！	dialogue	'Beedy-eye' Jones	Player
You think this is cold? Up by Acheron it gets so cold that when you talk you see the words freeze in the air in front of you!	你觉得这算冷？在阿刻戎那边，冷得你说出的话都会在半空中结成冰！	dialogue	'Beedy-eye' Jones	'Beedy-eye' Jones
REALLY?	真的吗？	dialogue	'Beedy-eye' Jones	Player
