english	translation	category	sub_category	source
Dwarf remains	矮人遗骸	name	item	Dwarf remains
Toolkit	工具包	name	item	Toolkit
Steel cannonball	钢制炮弹	name	item	Steel cannonball
Nulodion's notes	努洛迪翁的笔记	name	item	Nulodion's notes
Ammo mould	弹药模具	name	item	Ammo mould
Instruction manual	说明书	name	item	Instruction manual
Cannon base	大炮基座	name	item	Cannon base
Cannon stand	大炮支架	name	item	Cannon stand
Cannon barrels	炮管	name	item	Cannon barrels
Cannon furnace	炮炉	name	item	Cannon furnace
Railing	栏杆	name	item	Railing
Holy table napkin	神圣餐巾	name	item	Holy table napkin
Magic whistle	魔法哨子	name	item	Magic whistle
Grail bell	圣铃	name	item	Grail bell
Magic gold feather	魔法金羽毛	name	item	Magic gold feather
Holy grail	圣杯	name	item	Holy grail
White cog	白色齿轮	name	item	White cog
Black cog	黑色齿轮	name	item	Black cog
Blue cog	蓝色齿轮	name	item	Blue cog
Red cog	红色齿轮	name	item	Red cog
Rat poison	老鼠药	name	item	Rat poison
Red vine worm	红藤蠕虫	name	item	Red vine worm
Fishing trophy	钓鱼大赛奖杯	name	item	Fishing trophy
Fishing pass	钓鱼大赛参赛券	name	item	Fishing pass
Insect repellent	驱虫剂	name	item	Insect repellent
Bucket of wax	一桶蜡	name	item	Bucket of wax
Lit black candle	已点燃的黑色蜡烛	name	item	Lit black candle
Lit candle	已点燃的蜡烛	name	item	Lit candle
Excalibur	王者之剑	name	item	Excalibur
Candle	蜡烛	name	item	Candle
Black candle	黑色蜡烛	name	item	Black candle
Bronze arrowtips	青铜箭头	name	item	Bronze arrowtips
Iron arrowtips	铁箭头	name	item	Iron arrowtips
Steel arrowtips	钢箭头	name	item	Steel arrowtips
Mithril arrowtips	秘银箭头	name	item	Mithril arrowtips
Adamant arrowtips	精金箭头	name	item	Adamant arrowtips
Rune arrowtips	符文箭头	name	item	Rune arrowtips
Opal bolt tips	蛋白石弩箭头	name	item	Opal bolt tips
Pearl bolt tips	珍珠弩箭头	name	item	Pearl bolt tips
