english	translation	category	sub_category	source
Welcome to Old School RuneScape.	欢迎游玩《Old School RuneScape》。	gameText		
Did you know? You can change any aspect of your appearance at any makeover provider by using the button in the top left corner of any makeover interface.</col>	你知道吗？你可以在任意的易容师处，通过易容界面左上角的按钮，改变你外观的任意方面。</col>	gameText		
There are a lot of people on this world. You might want to switch to a quieter one. You can do so by using the world switcher in the logout menu.	这个世界玩家数量众多，您可以通过登出菜单中的世界切换器来切换到一个更清净的世界。	gameText		
<colNum0>You have battlestaves waiting to be collected from Zaff.	<colNum0>你有战杖可以从扎夫处领取。	gameText		
<colNum0>Your Kingdom of Miscellania approval is <Num0>%, and your coffer has <Num1>M coins.	<colNum0>你的杂项王国支持度为 <Num0>%，且你的金库拥有 <Num1>M 金币。	gameText		
To talk in your Ironman Group's channel, start each line of chat with //// or /g.	若要在你的铁人模式小组频道中发言，请在每行聊天内容前输入 //// 或 /g。	gameText		
Did you know? There is a setting in the Bank settings and on the Bank Deposit interface that lets you lock slots in your inventory so their content doesn't get deposited.</col>	你知道吗？银行设置和银行存入界面中有一个设置，可以让你锁定物品栏中的格子，使其内容不会被存入。</col>	gameText		
Did you know? By default, the smallest max hitsplat shown is <Num0>, but there is a setting to change that in the Settings menu.</col>	你知道吗？默认情况下，显示的最小最大伤害数字为<Num0>，但你可以在设置菜单中更改此设置。</col>	gameText		
Did you know? There is a setting in the Settings menu to automatically re-enable running once you have regained enough energy. This will however interrupt any action in progress.</col>	你知道吗？设置菜单中有一个选项，可在你恢复足够跑步值后自动重新启用奔跑功能。但这会中断当前正在进行的任何动作。</col>	gameText		
Did you know? You can put two halves of a pizza together to make a whole pizza!</col>	你知道吗？你可以将两块披萨拼在一起组成一个完整的披萨！</col>	gameText		
Did you know? If you find entering buildings tricky because the roof is in the way, you can hide roofs at all time by toggling the Hide roofs setting in the Settings menu.</col>	你知道吗？若因屋顶遮挡导致进入建筑困难，可在设置菜单中开启''隐藏屋顶''选项，随时隐藏屋顶。</col>	gameText		
