english	translation	category	sub_category	source
Destroy	销毁	inventoryActions	item	Dwarf remains
Drop	丢弃	inventoryActions	item	Steel cannonball
Read	阅读	inventoryActions	item	Nulodion's notes
Set-up	设置	inventoryActions	item	Cannon base
Blow	吹	inventoryActions	item	Magic whistle
Ring	摇动	inventoryActions	item	Grail bell
Blow-on	吹凉	inventoryActions	item	Magic gold feather
Extinguish	熄灭	inventoryActions	item	Lit black candle
Wield	装备	inventoryActions	item	Excalibur
Wear	穿戴	inventoryActions	item	Khazard helmet
Empty	清空	inventoryActions	item	Guam potion (unf)
Drink	喝	inventoryActions	item	Strength potion(4)
Clean	清洗	inventoryActions	item	Grimy guam leaf
Eat	吃	inventoryActions	item	Jangerberries
Equip	装备	inventoryActions	item	Cattleprod
Plant	种植	inventoryActions	item	Mithril seeds
Open	打开	inventoryActions	item	Casket
Throw	投掷	inventoryActions	item	Bird feed
Bury	埋葬	inventoryActions	item	Bones
Inspect	检查	inventoryActions	item	Ghost's skull
Bail-with	舀水	inventoryActions	item	Bailing bucket
Activate	激活	inventoryActions	item	Locating crystal
Search	搜索	inventoryActions	item	Panning tray
Polish	擦拭	inventoryActions	item	Buttons
Look-at	查看	inventoryActions	item	Level 1 certificate
Complete	完成	inventoryActions	item	Radimus notes
Swing	摆动	inventoryActions	item	Bullroarer
Look	看	inventoryActions	item	Sketch
Enchant-Vials	附魔瓶子	inventoryActions	item	Binding book
Investigate	调查	inventoryActions	item	Dark dagger
Cast Spell	施放法术	inventoryActions	item	Holy force
Hold	拿着	inventoryActions	item	Gnomeball
Dig	挖掘	inventoryActions	item	Spade
Blackout	熄灭	inventoryActions	item	Disk of returning
Check	检查	inventoryActions	item	Iban's staff
Locate	定位	inventoryActions	item	Air talisman
Rub-together	摩擦	inventoryActions	item	Dry sticks
Study	研究	inventoryActions	item	Map part
Rub	摩擦	inventoryActions	item	Amulet of glory
Edgeville	传送至边陲镇	inventoryActions	item	Amulet of glory(1)
Karamja	传送至卡拉姆詹岛	inventoryActions	item	Amulet of glory(1)
Draynor Village	传送至德雷诺村	inventoryActions	item	Amulet of glory(1)
Al Kharid	传送至阿尔卡里德城	inventoryActions	item	Amulet of glory(1)
Tan Leather	鞣皮	inventoryActions	item	Leather
Empty Bowl	倒掉	inventoryActions	item	Burnt stew
Mix-cocktail	调制鸡尾酒	inventoryActions	item	Cocktail shaker
Remove-legs	卸下腿甲	inventoryActions	item	Swamp toad
Prepare	准备	inventoryActions	item	Half baked bowl
Empty Tray	清空托盘	inventoryActions	item	Burnt crunchies
Empty Tin	清空罐子	inventoryActions	item	Burnt batta
Empty Dish	清空菜盘 / 碗	inventoryActions	item	Burnt pie
Guzzle	大口吞食	inventoryActions	item	Rock cake
Play-with	玩耍	inventoryActions	item	Brown toy horsey
Recharge Dragonstone	充能龙石	inventoryActions	item	Dead orb
Break	损毁	inventoryActions	item	Ring of recoil
Emir's Arena	传送至埃米尔竞技场	inventoryActions	item	Ring of dueling(8)
Castle Wars	传送至城堡战争	inventoryActions	item	Ring of dueling(8)
Ferox Enclave	传送至费罗飞地	inventoryActions	item	Ring of dueling(8)
Fortis Colosseum	传送至福蒂斯竞技场	inventoryActions	item	Ring of dueling(8)
Toggle-respawn	切换重生点	inventoryActions	item	Ring of life
Features	功能设定	inventoryActions	item	Ring of wealth
Look through	翻找 / 查阅	inventoryActions	item	Sextant
Check steps	查看进度	inventoryActions	item	Clue scroll (easy)
Release All	全部释放	inventoryActions	item	Bloated toad
Release	释放	inventoryActions	item	Bloated toad
Check kills	查看击杀数	inventoryActions	item	Ogre bow
Fill	填充 / 装满	inventoryActions	item	Druid pouch
Cast Bloom	施法催生	inventoryActions	item	Silver sickle (b)
Bloom	催生	inventoryActions	item	Silver sickle (b)
Cast	施放	inventoryActions	item	Druidic spell
