english	translation	category	sub_category	source
Study	研究	actions	item	Fire
Remove	移除	actions	item	Oak lectern
Lay	放置	actions	item	Bird snare
Activate	激活	actions	item	Magic box
Crush	压碎	actions	item	Smouldering heart
Eat-from	进食	actions	item	Smouldering pile of flesh
Bury	埋葬	actions	item	Giant bones
Examine	查看	actions	item	
Take	拿取	actions	item	
Light	点燃 / 点亮	actions	item	
(Members)	(会员)	actions	item	
Walk here	走到这里	actions	manual	
Cancel	取消	actions	manual	
Accurate	精准	actions	menu	combatOptionsTab
Aggressive	激进	actions	menu	combatOptionsTab
Defensive	防御	actions	menu	combatOptionsTab
Controlled	均衡	actions	menu	combatOptionsTab
Chop	砍伐	actions	menu	combatOptionsTab
Slash	挥砍	actions	menu	combatOptionsTab
Stab	刺击	actions	menu	combatOptionsTab
Block	格挡	actions	menu	combatOptionsTab
Pound	重击	actions	menu	combatOptionsTab
Pummel	猛击	actions	menu	combatOptionsTab
Spike	刺击	actions	menu	combatOptionsTab
Impale	穿刺	actions	menu	combatOptionsTab
Smash	重砸	actions	menu	combatOptionsTab
Lunge	突刺	actions	menu	combatOptionsTab
Swipe	横扫	actions	menu	combatOptionsTab
Hack	乱劈	actions	menu	combatOptionsTab
Reap	收割	actions	menu	combatOptionsTab
Rapid	速射	actions	menu	combatOptionsTab
Longrange	远射	actions	menu	combatOptionsTab
Flick	抽击	actions	menu	combatOptionsTab
Lash	鞭打	actions	menu	combatOptionsTab
Deflect	偏转	actions	menu	combatOptionsTab
Fend	抵挡	actions	menu	combatOptionsTab
Bash	重击	actions	menu	combatOptionsTab
Blaze	燃烧	actions	menu	combatOptionsTab
Scorch	横扫	actions	menu	combatOptionsTab
Flare	闪燃	actions	menu	combatOptionsTab
Punch	拳击	actions	menu	combatOptionsTab
Kick	踢击	actions	menu	combatOptionsTab
Hide	隐藏	actions	menu	prayerTab
Activate	激活	actions	menu	prayerTab
Unhide	取消隐藏	actions	menu	prayerTab
Deactivate	停用	actions	menu	prayerTab
Animation	动画效果	actions	menu	spellBookTab
Hide	隐藏	actions	menu	spellBookTab
Cast	施放	actions	menu	spellBookTab
Unhide	取消隐藏	actions	menu	spellBookTab
View	查看	actions	menu	spellBookTab
Warnings	警告	actions	menu	spellBookTab
Configure	配置	actions	menu	spellBookTab
Grand Exchange	传送至大交易所	actions	menu	spellBookTab
Seers'	传送至先知之村	actions	menu	spellBookTab
Group: Previous	群体传送至上次目的地	actions	menu	spellBookTab
Group: Choose	选择群体传送地点	actions	menu	spellBookTab
Outside	传送至房屋外	actions	menu	spellBookTab
Yanille	传送至亚尼勒城	actions	menu	spellBookTab
Enable warning	启用警告	actions	menu	spellBookTab
Disable warning	关闭警告	actions	menu	spellBookTab
Turael	传送至图拉尔	actions	menu	spellBookTab
Target	目标	actions	menu	spellBookTab
Setup	设置	actions	menu	spellBookTab
Arceuus	阿西乌斯法术书	actions	menu	spellBookTab
Ancient	古代法术书	actions	menu	spellBookTab
Standard	标准法术书	actions	menu	spellBookTab
Reanimate	复活	actions	menu	spellBookTab
Resurrect	复活	actions	menu	spellBookTab
Adjust Music Volume	调整音乐音量	actions	menu	settingsTab
Adjust Area Sound Volume	调整区域音效音量	actions	menu	settingsTab
Adjust Sound Effect Volume	调整音效音量	actions	menu	settingsTab
Toggle unlock message	切换解锁消息设定	actions	menu	settingsTab
Play	游玩	actions	menu	
Open Activity Adviser	打开活动顾问	actions	menu	
<colNum0>Set chat mode:</col> Group (/@g)	<colNum0>设置聊天模式：</col> 组队 (/@g)	actions	menu	
<colNum0>Set chat mode:</col> Guest Clan (/@gc)	<colNum0>设置聊天模式：</col> 访客战队 (/@gc)	actions	menu	
<colNum0>Set chat mode:</col> Clan (/@c)	<colNum0>设置聊天模式：</col> 战队 (/@c)	actions	menu	
<colNum0>Set chat mode:</col> Channel (/@f)	<colNum0>设置聊天模式：</col> 频道 (/@f)	actions	menu	
<colNum0>Set chat mode:</col> Public (/@p)	<colNum0>设置聊天模式：</col> 公共频道 (/@p)	actions	menu	
Clear history	清除历史记录	actions	menu	
Switch tab	切换标签页	actions	menu	
Configure filter	配置过滤器	actions	menu	
<colNum0>Game:</col> Clear history	<colNum0>游戏：</col> 清除历史记录	actions	menu	
<colNum0>Game:</col> Filter	<colNum0>游戏：</col> 过滤器	actions	menu	
Setup your autochat	设置自动聊天	actions	menu	
Filter public chat	过滤公共频道聊天	actions	menu	
<colNum0>Public:</col> Clear history	<colNum0>公共频道：</col> 清除历史记录	actions	menu	
<colNum0>Public:</col> Hide	<colNum0>公共频道：</col> 隐藏	actions	menu	
<colNum0>Public:</col> Show none	<colNum0>公共频道：</col> 不显示	actions	menu	
<colNum0>Public:</col> Show friends	<colNum0>公共频道：</col> 显示好友	actions	menu	
<colNum0>Public:</col> Show standard	<colNum0>公共频道：</col> 显示标准讯息	actions	menu	
<colNum0>Public:</col> Show autochat	<colNum0>公共频道：</col> 显示自动聊天	actions	menu	
<colNum0>Private:</col> Clear history	<colNum0>私聊：</col> 清除历史记录	actions	menu	
